NAME,Month,Longitude,Latitude,O3,B1,B6,SAA,SAZ,SOA,SOZ,边界层高(PBLH),相对湿度(RH),气压(PRES),大气温度(TMP),水平风速(U-GRD),垂直风速(V-GRD)
1320A,1.0,113.727,34.7187,7.0,0.0864,0.0474,138.258,49.515,0.64,70.001,397.2957,95.1668,98360.5355,265.3164,0.9868,-0.8634
1321A,1.0,113.734,34.719,14.0,0.0864,0.0474,138.258,49.515,0.64,70.001,397.2957,95.1668,98360.5355,265.3164,0.9868,-0.8634
1322A,1.0,113.5991,34.7496,6.0,0.0935,0.0581,138.074,49.605,0.514,70.002,462.112,94.794,98562.1593,265.9178,1.1194,-1.1565
1323A,1.0,113.6356,34.7538,14.0,0.094,0.0554,138.171,49.616,0.556,70.04,439.6157,94.8654,98513.3658,265.7994,0.9782,-1.1644
1324A,1.0,113.6113,34.9162,8.0,0.0922,0.0594,138.278,49.742,0.555,70.158,436.943,94.7066,98568.609,266.0458,0.6871,-1.4813
1325A,1.0,114.3672,30.5719,11.0,0.0953,0.0414,135.839,45.714,1.294,66.802,365.1605,93.8358,97303.2348,263.7104,3.0978,1.0263
1326A,1.0,114.2511,30.5514,10.0,0.0956,0.049,135.712,45.782,1.208,66.8,366.5027,93.8575,97309.7865,263.7346,3.1089,0.998
1327A,1.0,114.2836,30.6197,8.0,0.107,0.0519,135.754,45.822,1.209,66.838,369.0347,93.891,97303.2391,263.6999,3.1477,1.0471
1328A,1.0,114.3006,30.5494,9.0,0.095,0.0411,135.733,45.708,1.254,66.762,363.5177,93.8112,97312.8604,263.7574,3.0643,0.9619
1329A,1.0,114.4272,30.6103,23.0,0.1057,0.0472,135.943,45.722,1.334,66.841,365.8314,93.8235,97318.6538,263.6875,3.1161,1.0891
1330A,1.0,114.1525,30.4753,6.0,0.0972,0.0512,135.502,45.769,1.129,66.721,361.9086,93.8196,97330.2235,263.827,3.0438,0.8764
1331A,1.0,114.3008,30.5947,30.0,0.095,0.0388,135.774,45.748,1.253,66.801,365.8316,93.8466,97306.5107,263.7225,3.1033,1.0122
1333A,1.0,114.2131,30.6414,8.0,0.1048,0.0343,135.691,45.855,1.167,66.839,369.9239,93.9,97306.3173,263.7123,3.1529,1.0318
1334A,1.0,113.8531,30.2997,20.0,0.095,0.0285,134.958,45.814,0.88,66.563,346.2108,93.8336,97384.7644,264.0271,2.9359,0.649
1336A,1.0,112.8872,28.2189,5.0,0.0097,0.0027,131.91,44.946,0.083,64.985,322.007,94.3517,97841.9836,267.0084,2.6171,-0.5241
1337A,1.0,113.0792,28.2053,5.0,0.0099,0.0028,132.151,44.8,0.252,64.985,318.5943,94.3585,97819.2439,266.923,2.663,-0.4401
1338A,1.0,112.9394,28.19,19.0,0.0098,0.002,131.923,44.872,0.127,64.947,316.4616,94.5055,97859.4013,267.0314,2.6044,-0.5106
1340A,1.0,112.9792,28.2597,5.0,0.0098,0.0023,132.074,44.912,0.166,65.025,324.8734,94.2048,97808.6042,266.9226,2.6648,-0.4736
1341A,1.0,113.0014,28.1944,10.0,0.01,0.0025,132.043,44.798,0.209,64.947,314.9941,94.5053,97845.8453,266.9862,2.6262,-0.4705
1344A,1.0,112.9958,28.3586,42.0,0.0213,0.0053,132.168,44.985,0.165,65.102,334.019,93.9042,97764.5851,266.8365,2.7144,-0.4566
1345A,1.0,113.235,23.1422,4.0,0.0565,0.0267,127.118,41.017,0.429,61.127,354.736,96.7564,98426.5005,271.6319,1.6595,1.9072
1346A,1.0,113.261,23.105,4.0,0.0581,0.0292,127.176,40.976,0.473,61.128,353.4648,96.7103,98458.4979,271.601,1.6271,1.9487
1348A,1.0,113.348,23.0916,4.0,0.0417,0.0164,127.179,40.902,0.513,61.089,350.0347,96.746,98491.2963,271.4857,1.5522,2.0769
1349A,1.0,113.433,23.105,6.0,0.0625,0.0363,127.353,40.852,0.599,61.128,351.231,96.6144,98522.8296,271.5062,1.5649,2.1074
1350A,1.0,113.352,22.9477,4.0,0.0438,0.0228,127.068,40.756,0.557,60.978,343.1136,96.9491,98523.6481,271.1901,1.3835,2.3664
1351A,1.0,113.215,23.3917,10.0,0.0282,0.019,127.397,41.189,0.43,61.315,367.596,96.358,98417.3723,272.0247,1.8507,1.4435
1352A,1.0,113.26,23.1331,5.0,0.0581,0.0292,127.176,40.976,0.473,61.128,353.4648,96.7103,98458.4979,271.601,1.6271,1.9487
1353A,1.0,113.568,23.2783,1.0,0.0465,0.0304,127.701,40.832,0.724,61.242,358.9194,96.4571,98494.7383,271.6584,1.7194,2.1274
1354A,1.0,113.281,23.1569,4.0,0.059,0.0331,127.233,41.012,0.471,61.164,355.8301,96.6297,98457.1845,271.6824,1.6675,1.8589
1356A,1.0,114.1063,22.5545,104.0,0.0292,0.0167,127.563,39.895,1.188,60.725,353.5622,96.8274,98352.3166,270.4027,1.5524,3.9723
1357A,1.0,114.117,22.5625,75.0,0.0292,0.0167,127.563,39.895,1.188,60.725,353.5622,96.8274,98352.3166,270.4027,1.5524,3.9723
1359A,1.0,113.9181,22.5171,103.0,0.0088,0.0023,127.263,40.026,1.021,60.685,350.3078,96.9482,98395.1207,270.483,1.4465,3.7136
1360A,1.0,114.263,22.5908,107.0,0.0077,0.0024,127.743,39.772,1.316,60.726,356.5082,96.7421,98319.6755,270.3334,1.6176,4.1864
1361A,1.0,114.24,22.7267,106.0,0.0071,0.0019,127.858,39.916,1.273,60.839,355.5831,96.7149,98324.4439,270.4015,1.7089,4.0825
1364A,1.0,114.41,22.6342,85.0,0.0075,0.0017,127.985,39.682,1.44,60.767,359.6739,96.6181,98295.1842,270.2596,1.698,4.3639
1365A,1.0,114.297,22.5978,133.0,0.0077,0.0024,127.743,39.772,1.316,60.726,356.5082,96.7421,98319.6755,270.3334,1.6176,4.1864
1366A,1.0,114.085,22.75,68.0,0.0076,0.0023,127.733,40.075,1.145,60.871,353.2338,96.806,98365.1334,270.5519,1.6328,3.7616
1367A,1.0,113.574,22.2611,89.0,0.0111,0.0071,126.557,40.151,0.727,60.495,350.6053,97.0763,98442.3699,270.5528,1.3562,3.5164
1369A,1.0,113.628,22.4251,76.0,0.0086,0.0005,126.791,40.209,0.77,60.606,347.393,97.0874,98448.114,270.5838,1.3453,3.4112
1370A,1.0,113.299,22.2281,35.0,0.0071,0.0018,126.147,40.369,0.475,60.455,349.666,97.1961,98424.24,270.7099,1.4275,3.3383
1371A,1.0,113.134,23.0048,8.0,0.0604,0.0336,126.888,41.032,0.345,61.05,351.3081,97.0038,98368.2061,271.5482,1.6564,2.0218
1372A,1.0,113.105,23.0395,5.0,0.0604,0.0336,126.888,41.032,0.345,61.05,351.3081,97.0038,98368.2061,271.5482,1.6564,2.0218
1374A,1.0,113.292,22.8054,4.0,0.0435,0.0213,126.837,40.772,0.472,60.9,339.2725,97.1945,98466.3782,271.1122,1.3847,2.4871
1376A,1.0,112.844,22.8693,25.0,0.0468,0.0233,126.369,41.182,0.094,60.938,343.7817,97.4827,98200.1399,271.6024,1.8135,2.1597
1378A,1.0,112.863,23.1886,1.0,0.0417,0.0256,126.763,41.342,0.133,61.163,367.6531,97.006,98197.108,271.9066,1.9093,1.5031
1379A,1.0,113.3769,22.5211,4.0,0.02,0.0075,126.611,40.486,0.557,60.679,340.6143,97.2364,98499.6893,270.7359,1.2629,2.9843
1380A,1.0,113.3881,22.5497,5.0,0.02,0.0075,126.611,40.486,0.557,60.679,340.6143,97.2364,98499.6893,270.7359,1.2629,2.9843
1381A,1.0,113.4075,22.5111,11.0,0.0201,0.0078,126.669,40.444,0.599,60.677,341.3932,97.2073,98497.8946,270.7061,1.2666,3.0403
1382A,1.0,113.4411,22.4853,52.0,0.0086,0.0026,126.613,40.412,0.6,60.642,342.9724,97.1891,98491.1471,270.6866,1.2849,3.1072
1383A,1.0,113.104,22.6069,15.0,0.0319,0.0114,126.433,40.764,0.348,60.753,335.0733,97.4665,98384.1123,271.0461,1.4493,2.7509
1384A,1.0,113.074,22.5811,4.0,0.0329,0.0147,126.318,40.772,0.307,60.714,336.2954,97.486,98357.999,271.0752,1.4969,2.7921
1385A,1.0,113.0219,22.5311,16.0,0.0175,0.004,126.203,40.781,0.263,60.677,337.5252,97.506,98334.1162,271.1027,1.5385,2.8301
1386A,1.0,113.0819,22.5931,8.0,0.0329,0.0147,126.318,40.772,0.307,60.714,336.2954,97.486,98357.999,271.0752,1.4969,2.7921
1389A,1.0,113.7480556,23.06,6.0,0.0599,0.0329,127.653,40.572,0.85,61.094,354.6551,96.7219,98459.8686,271.2241,1.6183,2.7096
1390A,1.0,113.7944444,23.01277778,2.0,0.0576,0.0289,127.658,40.495,0.894,61.057,353.9942,96.7677,98447.4486,271.1114,1.6055,2.8743
1391A,1.0,113.7383333,22.96583333,1.0,0.0442,0.021,127.541,40.502,0.851,61.018,351.4776,96.8147,98456.5421,271.0617,1.5561,2.867
1392A,1.0,114.4183,23.0528,28.0,0.0402,0.0152,128.503,39.996,1.438,61.103,367.4705,96.7616,98328.2318,270.7712,1.8155,3.8741
1393A,1.0,114.4053,23.08,57.0,0.0402,0.0152,128.503,39.996,1.438,61.103,367.4705,96.7616,98328.2318,270.7712,1.8155,3.8741
1394A,1.0,114.4103,23.1142,79.0,0.0445,0.0284,128.56,40.032,1.439,61.141,368.4572,96.7879,98333.7953,270.8391,1.8197,3.8052
1396A,1.0,114.5317,22.7422,107.0,0.0195,0.007,128.223,39.67,1.525,60.844,363.3742,96.4979,98300.1726,270.2359,1.733,4.3836
1397A,1.0,112.427,23.0706,5.0,0.0282,0.0153,126.133,41.652,-0.241,61.09,369.1984,97.5564,97924.5649,272.0945,2.1738,1.3846
1398A,1.0,112.471,23.0528,5.0,0.009,0.0025,126.191,41.609,-0.199,61.09,368.1337,97.5114,97956.05,272.0607,2.1393,1.4231
1399A,1.0,112.565,23.1617,11.0,0.0238,0.0123,126.417,41.592,-0.117,61.163,376.5203,97.2882,98002.0506,272.0748,2.0907,1.2362
1400A,1.0,112.4722,23.0786,14.0,0.009,0.0025,126.191,41.609,-0.199,61.09,368.1337,97.5114,97956.05,272.0607,2.1393,1.4231
1409A,1.0,110.576,19.9507,87.0,0.0465,0.0251,120.542,41.353,-1.691,58.784,416.5908,98.6551,98374.2914,272.843,2.6064,2.3254
1410A,1.0,110.3232,20.0574,72.0,0.0149,0.0021,120.412,41.637,-1.904,58.862,414.0899,98.6662,98223.7006,272.9283,2.5722,1.9925
1414A,1.0,106.379,29.8272,53.0,0.039,0.0125,126.11,50.984,-5.381,66.425,612.4721,93.7778,99574.2837,266.6872,3.2101,-1.7835
1416A,1.0,106.424,29.8264,5.0,0.0805,0.0245,126.16,50.945,-5.342,66.42,615.7402,93.8316,99549.0079,266.6842,3.1793,-1.7509
1417A,1.0,106.626,29.7228,15.0,0.0914,0.0395,126.283,50.725,-5.172,66.332,608.0348,93.9986,99360.0293,267.0619,3.0735,-1.6676
1418A,1.0,106.296,29.5983,21.0,0.0338,0.0097,125.8,50.9,-5.463,66.24,617.3871,93.7535,99512.6691,267.4696,3.2552,-1.6597
1419A,1.0,106.54,29.5186,3.0,0.023,0.0064,126.013,50.672,-5.252,66.185,612.472,93.8727,99326.1885,267.6041,3.1211,-1.6363
1420A,1.0,106.65,29.6219,6.0,0.0227,0.008,126.25,50.622,-5.128,66.253,604.3029,94.0547,99269.6903,267.3271,3.0379,-1.6344
1421A,1.0,106.634,29.4892,3.0,0.0397,0.0137,126.073,50.562,-5.169,66.14,573.0796,94.1272,99197.979,267.3055,3.0095,-1.5752
1422A,1.0,106.364,29.4822,7.0,0.0239,0.0098,125.815,50.756,-5.375,66.156,611.6561,93.7877,99413.4147,267.6947,3.1786,-1.6293
1425A,1.0,106.617,29.7125,16.0,0.0914,0.0395,126.283,50.725,-5.172,66.332,608.0348,93.9986,99360.0293,267.0619,3.0735,-1.6676
1426A,1.0,106.468,29.4892,5.0,0.0286,0.0122,125.92,50.679,-5.292,66.15,605.9957,93.867,99337.1426,267.6495,3.1272,-1.619
1427A,1.0,106.562,29.6453,8.0,0.0565,0.0239,126.147,50.699,-5.213,66.26,633.0135,93.8253,99354.6007,267.6041,3.1376,-1.6782
1428A,1.0,106.452,29.709,6.0,0.0564,0.0231,126.128,50.842,-5.298,66.342,650.9491,93.6638,99483.3168,267.4541,3.2213,-1.7422
1429A,1.0,106.513,29.389,14.0,0.0576,0.0216,125.885,50.575,-5.249,66.072,560.1269,94.1158,99219.8873,267.3964,3.0217,-1.5405
1431A,1.0,103.97275,30.72358333,1.0,0.1195,0.0474,124.44,53.422,28.598,67.305,571.3444,84.4882,100192.0934,269.203,4.6542,-6.2595
1432A,1.0,104.176,30.6872,4.0,0.0929,0.0433,124.595,53.236,28.766,67.249,633.4928,82.8299,100271.0581,272.0095,5.3436,-7.7435
1433A,1.0,104.079,30.5706,2.0,0.0918,0.0318,124.42,53.252,28.683,67.181,573.205,84.3328,100275.7705,270.0978,4.8673,-6.6125
1434A,1.0,104.1113889,30.63,18.0,0.0957,0.039,124.508,53.244,28.725,67.214,606.2623,83.481,100281.0624,271.1444,5.1222,-7.2258
1437A,1.0,104.054,30.6578,11.0,0.0942,0.0369,124.498,53.314,28.681,67.257,605.684,83.4895,100263.0968,270.7952,5.0305,-7.0772
1439A,1.0,106.6856,26.6029,29.0,0.0451,0.0165,123.619,48.715,-5.077,63.959,535.9116,93.5229,97301.7946,270.5108,2.0443,-1.8949
1440A,1.0,106.6971,26.5689,22.0,0.0742,0.0398,123.572,48.684,-5.077,63.921,525.3264,93.7236,97320.0872,270.579,2.0476,-1.8443
1441A,1.0,106.6243,26.6266,30.0,0.0314,0.0107,123.569,48.756,-5.119,63.96,531.4411,93.6355,97322.9892,270.5244,2.0337,-1.8836
1442A,1.0,106.7487,26.6343,25.0,0.0098,0.0026,123.669,48.674,-5.036,63.956,540.3821,93.4103,97280.6,270.4972,2.0549,-1.9062
1443A,1.0,106.6554,26.4364,38.0,0.0175,0.0036,123.433,48.592,-5.075,63.807,493.5709,94.3258,97374.9651,270.7835,2.0576,-1.6926
1444A,1.0,106.6948,26.5155,31.0,0.0484,0.0279,123.525,48.654,-5.075,63.883,514.7413,93.9243,97338.3798,270.6472,2.0509,-1.7937
1445A,1.0,106.7105,26.6009,29.0,0.0098,0.0026,123.669,48.674,-5.036,63.956,540.3821,93.4103,97280.6,270.4972,2.0549,-1.9062
1446A,1.0,106.7164,26.5697,28.0,0.0782,0.042,123.622,48.643,-5.034,63.917,529.3714,93.6133,97299.5138,270.5645,2.0578,-1.8548
1450A,1.0,102.821,24.8885,24.0,0.0438,0.0285,118.445,51.013,27.707,62.969,436.6806,98.6816,98529.0753,273.3105,3.0744,-1.2562
1452A,1.0,102.728,25.0836,6.0,0.0524,0.0296,118.539,51.205,27.625,63.128,416.9618,98.6524,98500.1049,273.212,2.7512,-1.4521
1453A,1.0,102.722,25.0405,20.0,0.0359,0.0227,118.493,51.178,27.623,63.09,422.9861,98.6486,98510.7637,273.2439,2.8723,-1.4378
1454A,1.0,102.681,25.067,10.0,0.0216,0.015,118.495,51.249,27.581,63.135,420.6168,98.6276,98507.0422,273.2261,2.8272,-1.5146
1455A,1.0,102.638,25.0359,7.0,0.0214,0.0137,118.409,51.267,27.542,63.102,429.5634,98.6002,98524.586,273.2723,3.0267,-1.566
1456A,1.0,91.1319,29.6514,64.0,0.0939,0.0775,112.893,63.479,17.981,68.504,538.2865,87.133,101164.9818,270.1869,0.4377,-2.6953
1457A,1.0,91.1221,29.6747,64.0,0.0939,0.0775,112.893,63.479,17.981,68.504,538.2865,87.133,101164.9818,270.1869,0.4377,-2.6953
1458A,1.0,91.0874,29.6475,53.0,0.0378,0.0351,112.825,63.503,17.942,68.478,534.4189,86.6954,101150.0983,270.1788,0.4067,-2.7206
1459A,1.0,91.1774,29.6541,75.0,0.0431,0.0414,112.929,63.436,18.024,68.493,549.3933,87.0964,101181.2288,270.2775,0.4269,-2.7243
1460A,1.0,90.9798,29.6588,55.0,0.0248,0.033,112.784,63.607,17.86,68.536,504.9659,87.2426,101116.2409,269.915,0.47,-2.6082
1461A,1.0,91.0834,29.6292,67.0,0.0378,0.0351,112.825,63.503,17.942,68.478,534.4189,86.6954,101150.0983,270.1788,0.4067,-2.7206
1462A,1.0,108.882,34.2749,8.0,0.0962,0.0567,132.256,52.275,-3.425,69.732,807.2276,90.5515,98909.0924,267.8555,4.1479,-5.9044
1463A,1.0,108.993,34.2629,31.0,0.0941,0.0511,132.369,52.208,-3.339,69.728,813.2614,91.0898,98933.9047,267.9897,3.9324,-5.7927
1464A,1.0,109.06,34.2572,3.0,0.0945,0.0497,132.48,52.142,-3.256,69.724,819.2952,91.6282,98958.7171,268.1238,3.7169,-5.681
1465A,1.0,108.94,34.2324,2.0,0.0945,0.048,132.274,52.204,-3.381,69.692,814.2541,90.7575,98882.6675,267.8374,4.0528,-5.6166
1466A,1.0,108.954,34.2713,4.0,0.0941,0.0511,132.369,52.208,-3.339,69.728,813.2614,91.0898,98933.9047,267.9897,3.9324,-5.7927
1467A,1.0,108.883,34.2303,29.0,0.0969,0.0552,132.221,52.238,-3.424,69.692,812.4047,90.5016,98867.6396,267.7748,4.156,-5.6735
1468A,1.0,108.935,34.3474,8.0,0.0984,0.0561,132.349,52.279,-3.383,69.769,806.2348,90.8839,98960.3296,268.0078,4.0276,-6.0805
1469A,1.0,108.906,34.1546,14.0,0.0932,0.0469,132.239,52.166,-3.382,69.653,818.2638,90.6943,98843.8365,267.7521,4.0654,-5.3846
1471A,1.0,109.2186,34.3731,16.0,0.0912,0.0607,132.721,52.114,-3.13,69.796,834.3363,92.7209,99042.1369,268.5499,3.3137,-5.9909
1472A,1.0,108.869,34.378,11.0,0.0973,0.059,132.33,52.35,-3.424,69.808,796.8733,90.6514,98991.9979,268.0169,4.1319,-6.3661
1473A,1.0,108.985,34.1978,4.0,0.0911,0.0471,132.294,52.133,-3.341,69.65,818.9457,90.937,98861.4861,267.8101,3.9667,-5.3265
1474A,1.0,109.043,34.3274,4.0,0.0959,0.0535,132.461,52.212,-3.299,69.765,814.6036,91.4487,98979.8985,268.151,3.803,-5.9711
1476A,1.0,103.631,36.1031,2.0,0.0921,0.0716,127.994,57.176,28.178,71.506,808.2512,81.0032,96862.4495,263.5066,4.0843,-5.8758
1477A,1.0,104.148,35.94,33.0,0.0821,0.0817,128.366,56.696,28.597,71.309,681.2719,78.3238,97586.2145,264.019,4.7515,-7.142
1478A,1.0,103.841,36.0725,3.0,0.0886,0.0618,128.163,57.006,28.344,71.448,768.3364,80.0991,97098.075,263.7066,4.2352,-6.2845
1479A,1.0,103.831,36.0464,6.0,0.0852,0.0573,128.129,56.972,28.346,71.41,758.9913,80.1242,97131.1497,263.6745,4.2932,-6.3239
1483A,1.0,101.524,36.6867,20.0,0.0579,0.0495,126.27,59.004,26.422,72.139,731.6381,80.2841,97843.7214,263.095,3.1786,-4.8516
1484A,1.0,105.9512,38.6016,62.0,0.0794,0.063,132.038,57.372,-5.875,73.268,597.6868,90.6473,98116.4079,267.0503,0.5508,-6.7957
1488A,1.0,106.2328,38.4975,8.0,0.0849,0.0469,132.213,57.102,-5.663,73.136,647.8019,89.7954,98091.8315,267.0008,0.3654,-6.4084
1489A,1.0,106.1358,38.5036,3.0,0.0843,0.0758,132.135,57.202,-5.748,73.182,627.5951,90.1703,98074.5711,266.9809,0.4585,-6.563
1490A,1.0,87.5801,43.8303,4.0,0.0145,0.0048,117.466,72.642,50.612,79.884,949.652,62.8958,101334.9023,277.302,-4.9949,-1.1489
1492A,1.0,87.4754,43.9469,5.0,0.0456,0.0184,117.425,72.758,50.526,79.98,956.2374,63.1167,101348.2449,277.2814,-5.1193,-0.8351
1564A,1.0,112.4876,27.9164,49.0,0.0094,0.0024,131.151,45.019,-0.246,64.757,294.2321,95.3458,98085.1045,267.5133,2.4122,-0.684
1585A,1.0,109.8756,40.6532,4.0,0.0789,0.045,137.555,56.622,-2.634,74.692,1652.4763,74.4287,100420.9456,275.9919,-13.9005,-3.4686
1587A,1.0,110.0067,40.5905,4.0,0.0812,0.0524,137.668,56.455,-2.507,74.609,1639.61,75.1877,100382.825,276.0253,-14.0061,-3.7053
1588A,1.0,109.8538,40.6821,5.0,0.0789,0.045,137.555,56.622,-2.634,74.692,1652.4763,74.4287,100420.9456,275.9919,-13.9005,-3.4686
1589A,1.0,109.8654,40.6288,3.0,0.0805,0.0469,137.526,56.582,-2.632,74.652,1651.6846,74.4758,100402.3898,276.0339,-13.9155,-3.5727
1590A,1.0,110.0377,40.5546,5.0,0.0812,0.0524,137.668,56.455,-2.507,74.609,1639.61,75.1877,100382.825,276.0253,-14.0061,-3.7053
1591A,1.0,110.0023,39.8129,48.0,0.0723,0.0606,137.225,55.853,-2.496,74.02,1475.6469,82.1653,100103.4205,275.8411,-13.534,-5.3528
1592A,1.0,109.9486,39.8261,75.0,0.0751,0.0642,137.113,55.91,-2.58,74.024,1474.955,82.0111,100106.0825,275.863,-13.4547,-5.3658
1593A,1.0,109.7736,39.5986,16.0,0.0745,0.0458,136.793,55.795,-2.704,73.833,1409.4036,84.0842,99980.3604,275.7277,-13.0101,-5.9041
1594A,1.0,109.8119,39.5989,14.0,0.0735,0.0445,136.85,55.767,-2.661,73.83,1411.2155,84.1332,99981.5894,275.7258,-13.0555,-5.8955
1595A,1.0,109.9734,39.7884,8.0,0.0744,0.0577,137.141,55.842,-2.538,73.983,1464.2491,82.5567,100086.189,275.8401,-13.4626,-5.4701
1597A,1.0,122.2703,40.7094,49.0,0.0116,0.0053,152.987,50.764,-28.215,75.072,883.5852,99.6414,100804.6567,273.8038,-17.6085,-0.1064
1598A,1.0,122.215,40.6511,35.0,0.0319,0.0168,152.896,50.734,-28.257,75.03,894.6565,99.4631,100776.8709,273.8488,-17.7583,-0.1359
1606A,1.0,121.835,41.1042,7.0,0.0348,0.0186,152.571,51.33,-28.592,75.348,903.0225,98.8764,100969.3982,273.7518,-16.2382,0.252
1607A,1.0,120.9092,40.7136,8.0,0.0331,0.0211,151.18,51.294,-29.347,74.969,1040.1856,94.5252,100713.6852,274.234,-17.2799,-0.1899
1609A,1.0,120.8478,40.715,5.0,0.0144,0.0095,151.045,51.334,-29.432,74.962,1050.8871,94.0017,100707.0742,274.2647,-17.2596,-0.2172
1611A,1.0,118.5819,24.9117,79.0,0.0891,0.0539,136.087,38.224,4.915,62.661,438.457,95.7207,98111.2918,269.0659,1.9547,4.964
1612A,1.0,118.5972,24.8978,81.0,0.0535,0.028,136.033,38.184,4.914,62.624,439.1318,95.6894,98079.9688,269.0503,1.9694,5.0455
1613A,1.0,118.6663,24.9424,76.0,0.0889,0.0482,136.231,38.154,4.998,62.667,439.1459,95.6164,98139.4516,268.9861,1.9677,4.9678
1614A,1.0,118.6108,24.9617,85.0,0.0164,0.0053,136.212,38.232,4.957,62.701,438.1204,95.7033,98156.6423,269.0411,1.9435,4.8852
1616A,1.0,117.6789,36.2289,5.0,0.0868,0.0519,144.319,48.58,3.952,71.274,186.8116,95.4532,98745.0833,263.0752,-2.9383,1.4338
1618A,1.0,118.3418,35.0573,16.0,0.027,0.014,144.424,47.195,4.494,70.412,275.0395,95.5967,98115.1403,263.156,-1.2312,2.1758
1619A,1.0,118.295,35.0583,15.0,0.0447,0.0276,144.358,47.222,4.451,70.407,271.7954,95.5971,98132.4093,263.1624,-1.2323,2.182
1620A,1.0,118.2764,34.9817,5.0,0.038,0.0193,144.29,47.132,4.452,70.332,276.8959,95.5528,98108.065,263.2161,-1.1626,2.2659
1621A,1.0,118.4023,35.0896,7.0,0.0369,0.0163,144.56,47.143,4.576,70.416,281.0288,95.5721,98106.5604,263.1584,-1.2339,2.187
1622A,1.0,116.3061,37.4664,6.0,0.0906,0.0591,143.363,50.405,2.819,72.196,704.8265,94.7947,99102.6002,267.4981,-5.8637,-0.4417
1624A,1.0,116.3189,37.4489,4.0,0.0918,0.0504,143.331,50.362,2.819,72.156,685.4275,94.8133,99093.3241,267.3642,-5.7351,-0.406
1625A,1.0,115.9848,36.4372,8.0,0.0984,0.0471,142.244,49.665,2.527,71.367,433.722,95.1569,98836.5585,265.5446,-3.1227,-0.0254
1628A,1.0,118.0062,37.3803,1.0,0.0814,0.0472,145.501,49.445,4.244,72.186,395.5782,94.1772,98598.3641,263.3727,-5.3706,0.5884
1629A,1.0,118.0018,37.3617,4.0,0.0814,0.0472,145.501,49.445,4.244,72.186,395.5782,94.1772,98598.3641,263.3727,-5.3706,0.5884
1630A,1.0,117.9776,37.393,6.0,0.0913,0.0519,145.434,49.471,4.201,72.182,399.909,94.1934,98637.6453,263.4554,-5.3699,0.5551
1631A,1.0,118.0482,36.8088,22.0,0.0655,0.0338,145.161,48.943,4.246,71.757,247.1573,95.0263,98799.2426,263.2127,-3.9901,1.1459
1633A,1.0,117.8477,36.497,35.0,0.0815,0.0504,144.675,48.726,4.077,71.475,194.8641,95.3454,98831.0317,263.187,-3.3087,1.3176
1634A,1.0,117.9544,36.6377,44.0,0.0892,0.049,144.97,48.785,4.204,71.598,194.8648,95.3126,98877.1478,263.1839,-3.5112,1.3157
1635A,1.0,118.3092,36.8198,41.0,0.0871,0.0547,145.558,48.792,4.497,71.771,238.9749,95.0785,98697.1903,262.9495,-3.9046,1.3326
1637A,1.0,117.5564,34.864,8.0,0.0449,0.0258,143.284,47.42,3.865,70.218,249.8325,95.5271,98328.1971,263.4803,-0.9895,2.3998
1638A,1.0,117.2852,34.7837,34.0,0.0528,0.0285,142.82,47.495,3.613,70.129,246.4283,95.5652,98355.0038,263.6793,-0.7633,2.3993
1639A,1.0,117.5852,34.7745,18.0,0.0267,0.0141,143.217,47.332,3.865,70.141,261.5595,95.4899,98305.2077,263.594,-0.8606,2.4653
1640A,1.0,117.732,34.5667,23.0,0.0394,0.0213,143.28,47.07,3.99,69.994,282.2667,95.4216,98206.351,263.6796,-0.686,2.5686
1641A,1.0,117.4518,35.0992,42.0,0.0671,0.0436,143.29,47.653,3.781,70.37,219.8903,95.6022,98408.714,263.2659,-1.2497,2.2811
1642A,1.0,121.2514,37.5639,43.0,0.0444,0.0019,149.999,48.103,-29.036,72.544,542.6057,94.727,99321.4822,266.3405,-7.4637,2.3323
1643A,1.0,121.3719,37.5433,41.0,0.0339,0.0177,150.11,48.011,-28.952,72.514,512.6723,94.7776,99287.1602,265.9405,-7.3343,2.3232
1644A,1.0,121.3181,37.5436,58.0,0.038,0.0194,150.041,48.033,-28.993,72.509,519.7492,94.7437,99287.9342,266.0525,-7.3166,2.3612
1645A,1.0,121.4478,37.4822,46.0,0.0217,0.0095,150.151,47.941,-28.91,72.48,498.1672,94.7355,99236.134,265.6665,-7.1565,2.3982
1646A,1.0,121.2611,37.4967,8.0,0.0501,0.0242,149.943,48.005,-29.035,72.467,513.9362,94.6702,99252.7814,265.99,-7.1219,2.4813
1650A,1.0,119.1425,36.7008,9.0,0.0859,0.051,146.564,48.302,5.166,71.737,275.0283,94.9955,98884.2612,263.8432,-3.7957,2.326
1653A,1.0,116.6305,35.428,4.0,0.0504,0.0291,142.414,48.431,3.069,70.608,116.4898,95.9346,98446.113,263.0073,-1.1543,1.6275
1655A,1.0,116.5546,35.4039,40.0,0.0502,0.0328,142.35,48.458,3.027,70.607,113.2041,95.9485,98441.0705,263.0197,-1.1139,1.5972
1656A,1.0,117.1436,36.1942,32.0,0.0959,0.051,143.564,48.824,3.489,71.211,184.532,95.4443,98783.0901,263.3285,-2.87,1.2454
1657A,1.0,117.0881,36.1942,50.0,0.0961,0.0541,143.5,48.852,3.449,71.21,187.3237,95.4491,98780.3403,263.3762,-2.8474,1.2127
1658A,1.0,117.1081,36.1758,8.0,0.0959,0.051,143.564,48.824,3.489,71.211,184.532,95.4443,98783.0901,263.3285,-2.87,1.2454
